Software: Software
Pfahl: Pfahl
Test: Test
metrics: metric
Efficiency: Efficiency
What: What
Why: Why
Evaluate: Evaluate
efficiency: efficiency
case: case
activities: activity
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
Test: Test
metrics: metric
Trouble: Trouble
reports: report
What: What
repair: repair
time: time
root: root
cause: cause
Why: Why
Monitor: Monitor
quality: quality
Monitor: Monitor
efficiency: efficiency
Improve: Improve
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
Test: Test
metrics: metric
Effectiveness: Effectiveness
What: What
Why: Why
found: found
faults: fault
per: per
Evaluate: Evaluate
effectiveness: effectiveness
phase: phase
missed: missed
faults: fault
activities: activity
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
When: When
stop: stop
testing: testing
All: All
planned: planned
tests: test
are: are
executed: executed
and: and
passed: passed
All: All
coverage: coverage
goals: goal
met: met
requirements: requirement
code: code
Detection: Detection
specific: specific
number: number
failures: failure
Rates: Rates
failure: failure
detection: detection
fallen: fallen
below: below
specified: specified
level: level
Fault: Fault
seeding: seeding
ratios: ratio
are: are
favourable: favourable
Reliability: Reliability
above: above
certain: certain
value: value
Cost: Cost
reached: reached
the: the
limit: limit
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
Failure: Failure
Detection: Detection
Test: Test
Execution: Execution
Number: Number
detected: detected
failures: failure
Number: Number
executed: executed
test: test
cases: case
Number: Number
failures: failure
test: test
cases: case
per: per
day: day
Interpretation: Interpretation
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
Structure: Structure
Lecture: Lecture
Test: Test
Tools: Tools
Test: Test
Measurement: Measurement
Test: Test
Process: Process
Improvement: Improvement
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
Process: Process
quality: quality
and: and
product: product
quality: quality
Quality: Quality
process: process
Quality: Quality
product: product
Project: Project
instantiated: instantiated
process: process
Quality: Quality
according: according
ISO: ISO
Process: Process
quality: quality
contributes: contributes
improving: improving
product: product
quality: quality
which: which
turn: turn
contributes: contributes
improving: improving
quality: quality
use: use
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
Product: Product
ProcessProject: ProcessProject
Process: Process
improvement: improvement
models: model
Test: Test
Process: Process
improvement: improvement
models: model
Integrated: Integrated
Capability: Capability
maturity: maturity
model: model
CMM: CMM
CMMI: CMMI
Software: Software
process: process
improvement: improvement
and: and
capability: capability
determination: determination
SPICE: SPICE
ISO: ISO
Bootstrap: Bootstrap
Test: Test
Process: Process
Improvement: Improvement
Models: Models
Test: Test
maturity: maturity
model: model
TMM: TMM
Test: Test
process: process
improvement: improvement
model: model
TPI: TPI
Test: Test
improvement: improvement
model: model
TIM: TIM
Minimal: Minimal
Test: Test
Practice: Practice
Framework: Framework
MTPF: MTPF
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
Test: Test
Maturity: Maturity
Model: Model
TMM: TMM
Levels: Levels
Maturity: Maturity
goals: goal
and: and
Scope: Scope
boundaries: boundary
accomplishments: accomplishment
Activities: Activities
tasks: task
responsibilities: responsibility
Assessment: Assessment
model: model
Maturity: Maturity
goals: goal
Assessment: Assessment
guidelines: guideline
Assessment: Assessment
procedure: procedure
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
Level: Level
Phase: Phase
Definition: Definition
Institutionalize: Institutionalize
basic: basic
testing: testing
techniques: technique
and: and
methods: method
Initiate: Initiate
test: test
planning: planning
process: process
Develop: Develop
testing: testing
and: and
debugging: debugging
tools: tool
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
Level: Level
Integration: Integration
Control: Control
and: and
monitor: monitor
the: the
testing: testing
process: process
Integrate: Integrate
testing: testing
into: into
software: software
cycle: cycle
Establish: Establish
technical: technical
training: training
program: program
Establish: Establish
software: software
test: test
organization: organization
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
Level: Level
Management: Management
and: and
Measurement: Measurement
Software: Software
quality: quality
evaluation: evaluation
Establish: Establish
test: test
management: management
program: program
Establish: Establish
review: review
program: program
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
Level: Level
Optimizing: Optimizing
Defect: Defect
Prevention: Prevention
and: and
Quality: Quality
Control: Control
Test: Test
process: process
optimization: optimization
Quality: Quality
control: control
Application: Application
process: process
data: data
for: for
defect: defect
prevention: prevention
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
Test: Test
Tools: Tools
Test: Test
Maturity: Maturity
TMM: TMM
level: level
Test: Test
library: library
tools: tool
TMM: TMM
level: level
Code: Code
checkers: checker
Code: Code
comprehension: comprehension
tools: tool
Test: Test
harness: harness
generators: generator
analyzers: analyzer
Test: Test
management: management
tools: tool
TMM: TMM
level: level
Configuration: Configuration
management: management
Requirements: Requirements
tools: tool
tools: tool
Comparator: Comparator
Defect: Defect
tracker: tracker
Complexity: Complexity
measurer: measurer
Load: Load
generators: generator
TMM: TMM
level: level
planners: planner
error: error
checkers: checker
Test: Test
preparation: preparation
tools: tool
Coverage: Coverage
analyzers: analyzer
tools: tool
TMM: TMM
level: level
Debuggers: Debuggers
Configuration: Configuration
builders: builder
LOC: LOC
counters: counter
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
Test: Test
Improvement: Improvement
Model: Model
TIM: TIM
Key: Key
areas: area
Maturity: Maturity
levels: level
Organization: Organization
Planning: Planning
and: and
monitoring: monitoring
Test: Test
cases: case
Testware: Testware
Review: Review
Inspection: Inspection
Initial: Initial
Basic: Basic
Cost: Cost
effective: effective
Risk: Risk
thinking: thinking
Optimizing: Optimizing
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
Maturity: Maturity
profile: profile
example: example
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
Minimal: Minimal
Test: Test
Practice: Practice
Framework: Framework
Phase: Phase
Phase: Phase
Phase: Phase
Maintain: Maintain
Evolve: Evolve
System: System
Define: Define
Teams: Teams
Perform: Perform
Inspections: Inspections
Risk: Risk
Management: Management
Create: Create
System: System
Define: Define
Roles: Roles
Perform: Perform
Walkthroughs: Walkthroughs
Test: Test
Cases: Cases
Define: Define
Syntax: Syntax
Define: Define
Responsibility: Responsibility
Use: Use
Checklists: Checklists
Basic: Basic
Administration: Administration
Test: Test
Environment: Environment
Coordinate: Coordinate
Software: Software
Quality: Quality
Assurance: Assurance
Test: Test
Plan: Plan
Category: Category
Problem: Problem
Experience: Experience
Reporting: Reporting
Roles: Roles
Verification: Verification
Test: Test
Organisation: Organisation
Validation: Validation
Administration: Administration
Test: Test
Planning: Planning
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
Recommended: Recommended
Textbook: Textbook
Exercises: Exercises
Chapter: Chapter
Chapter: Chapter
Chapter: Chapter
exercises: exercise
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
Lab: Lab
Automated: Automated
Testing: Testing
Lab: Lab
week: week
Apr: Apr
Apr: Apr
Automated: Automated
Testing: Testing
Regression: Regression
Testing: Testing
Lab: Lab
Instructions: Instructions
Tools: Tools
Submission: Submission
Deadlines: Deadlines
Monday: Monday
Lab: Lab
Sunday: Sunday
May: May
Tuesday: Tuesday
Labs: Labs
Monday: Monday
May: May
